"","CD_U2A","LB_U2A","CD_STR","CD_DEPT","LB_DEPT","CD_REGION","LB_REGION","VILLE","DEPT","coord.lat","coord.lng"
"132","U1101","A DEFINIR (CD)",15,11,"DD DE L AUDE","91","LANGUEDOC-ROUSSILLON","NON RENSEIGNE","Aude",NA,NA
"133","U1102","Samu social de Trebes",216,11,"DD DE L AUDE","91","LANGUEDOC-ROUSSILLON","Trebes","Aude",43.2141019,2.446915
"134","U1103","Centre de distribution Carcassonne",216,11,"DD DE L AUDE","91","LANGUEDOC-ROUSSILLON","Carcassonne","Aude",43.212161,2.353663
"135","U1104","Samu social de Carcassonne",216,11,"DD DE L AUDE","91","LANGUEDOC-ROUSSILLON","Carcassonne","Aude",43.212161,2.353663
"136","U1105","Centre de distribution de Lezignan",218,11,"DD DE L AUDE","91","LANGUEDOC-ROUSSILLON","Lezignan","Aude",43.200503,2.7577759
"137","U1106","Centre de distribution de Narbonne",220,11,"DD DE L AUDE","91","LANGUEDOC-ROUSSILLON","Narbonne","Aude",43.184277,3.003078
"138","U1107","Centre de distribution de Limoux",219,11,"DD DE L AUDE","91","LANGUEDOC-ROUSSILLON","Limoux","Aude",43.053289,2.218142
"139","U12","DD de l'Aveyron",16,12,"DD DE L AVEYRON","73","MIDI-PYRENEES","Aveyron","Aveyron",44.4107374,2.4832366
"140","U1201","Samu social de Rodez",225,12,"DD DE L AVEYRON","73","MIDI-PYRENEES","Rodez","Aveyron",44.349389,2.575986
"141","U1202","Centre de distribution de Rodez",225,12,"DD DE L AVEYRON","73","MIDI-PYRENEES","Rodez","Aveyron",44.349389,2.575986
"142","U1203","Distribution CAP de Millau",224,12,"DD DE L AVEYRON","73","MIDI-PYRENEES","Millau","Aveyron",44.100575,3.077801
"143","U1204","Distribution CAP de Villefranche de Roue",229,12,"DD DE L AVEYRON","73","MIDI-PYRENEES","Villefranche%20Roue","Aveyron",44.2179747,2.6189273
"144","U1301","Centre de distribution d'Arles",231,13,"DD DES BOUCHES-DU-RHONE","93","PROVENCE-ALPES-COTE-D AZUR","Arles","Bouches-du-Rh%C3%B4ne",43.676647,4.6277769
"145","U1302","Centre de distribution Aix en Provence",230,13,"DD DES BOUCHES-DU-RHONE","93","PROVENCE-ALPES-COTE-D AZUR","Aix%20en%20Provence","Bouches-du-Rh%C3%B4ne",43.529742,5.447427
"146","U1303","Samu social d'Aix en Provence",230,13,"DD DES BOUCHES-DU-RHONE","93","PROVENCE-ALPES-COTE-D AZUR","Aix%20en%20Provence","Bouches-du-Rh%C3%B4ne",43.529742,5.447427
"147","U1304","Centre de distribution de Rognac",241,13,"DD DES BOUCHES-DU-RHONE","93","PROVENCE-ALPES-COTE-D AZUR","Rognac","Bouches-du-Rh%C3%B4ne",43.487871,5.23463
"148","U1305","Centre de distribution d'Aubagne",232,13,"DD DES BOUCHES-DU-RHONE","93","PROVENCE-ALPES-COTE-D AZUR","Aubagne","Bouches-du-Rh%C3%B4ne",43.2926781,5.5676425
"149","U1306","Centre de distribution de Chateaurenard",240,13,"DD DES BOUCHES-DU-RHONE","93","PROVENCE-ALPES-COTE-D AZUR","Chateaurenard","Bouches-du-Rh%C3%B4ne",43.8820059,4.855685
"150","U1307","Centre distribution d'Istres",233,13,"DD DES BOUCHES-DU-RHONE","93","PROVENCE-ALPES-COTE-D AZUR","Istres","Bouches-du-Rh%C3%B4ne",43.513006,4.987968
"151","U1308","Epicerie sociale de Marignane",235,13,"DD DES BOUCHES-DU-RHONE","93","PROVENCE-ALPES-COTE-D AZUR","Marignane","Bouches-du-Rh%C3%B4ne",43.4212739,5.218332
"152","U1309","Centre distribution de La Ciotat",234,13,"DD DES BOUCHES-DU-RHONE","93","PROVENCE-ALPES-COTE-D AZUR","La%20Ciotat","Bouches-du-Rh%C3%B4ne",43.173653,5.605155
"153","U1310","Samu social de la Ciotat",234,13,"DD DES BOUCHES-DU-RHONE","93","PROVENCE-ALPES-COTE-D AZUR","la%20Ciotat","Bouches-du-Rh%C3%B4ne",43.173653,5.605155
"154","U1311","Centre distribution Marseille Belle de M",236,13,"DD DES BOUCHES-DU-RHONE","93","PROVENCE-ALPES-COTE-D AZUR","Marseille%20Belle%20M","Bouches-du-Rh%C3%B4ne",43.3109058,5.3862788
"155","U1312","Centre distrib de Marseille Simone Sedan",236,13,"DD DES BOUCHES-DU-RHONE","93","PROVENCE-ALPES-COTE-D AZUR","Marseille%20Simone%20Sedan","Bouches-du-Rh%C3%B4ne",43.2940669,5.3980363
